seqnames	start	end	strand	region	assembly
chr1	17011929	17012428	-	ATP13A2	hg38
chr1	17054033	17054532	-	SDHB	hg38
chr1	17119452	17119951	-	PADI2	hg38
chr1	17204628	17205127	+	PADI1	hg38
chr1	17248598	17249097	+	PADI3	hg38
chr1	17307697	17308196	+	PADI4	hg38
chr1	17371696	17372195	+	PADI6	hg38
chr1	17439678	17440177	-	RCC2	hg38
chr1	17539198	17539697	+	ARHGEF10L	hg38
chr1	17754833	17755332	+	ACTL8	hg38
chr1	18107298	18107797	+	IGSF21	hg38
chr1	18480430	18480929	+	KLHDC7A	hg38
chr1	18630346	18630845	+	PAX7	hg38
chr1	18859661	18860160	-	TAS1R2	hg38
chr1	18902556	18903055	-	ALDH4A1	hg38
chr1	18956677	18957176	-	IFFO2	hg38
chr1	19210267	19210766	-	UBR4	hg38
chr1	19251525	19252024	-	EMC1	hg38
chr1	19251305	19251804	+	MRTO4	hg38
chr1	19288771	19289270	-	AKR7A3	hg38
chr1	19312145	19312644	-	AKR7A2	hg38
chr1	19311826	19312325	+	SLC66A1	hg38
chr1	19485540	19486039	-	CAPZB	hg38
chr1	19596479	19596978	+	MICOS10	hg38
chr1	19643811	19644310	+	NBL1	hg38
chr1	19664375	19664874	+	HTR6	hg38
chr1	19799917	19800416	-	TMCO4	hg38
chr1	19815284	19815783	-	RNF186	hg38
chr1	19881895	19882394	+	OTUD3	hg38
chr1	19923618	19924117	-	PLA2G2E	hg38
chr1	19979619	19980118	-	PLA2G2A	hg38
chr1	20069694	20070193	+	PLA2G5	hg38
chr1	20119537	20120036	-	PLA2G2D	hg38
chr1	20138823	20139322	+	PLA2G2F	hg38
chr1	20186519	20187018	-	PLA2G2C	hg38
chr1	20185596	20186095	+	UBXN10	hg38
chr1	20290375	20290874	+	VWA5B1	hg38
chr1	20486211	20486710	-	CAMK2N1	hg38
chr1	20508152	20508651	-	MUL1	hg38
chr1	20552073	20552572	+	FAM43B	hg38
chr1	20588597	20589096	+	CDA	hg38
chr1	20632958	20633457	+	PINK1	hg38
chr1	20661370	20661869	-	DDOST	hg38
chr1	20718008	20718507	-	KIF17	hg38
chr1	20732704	20733203	-	SH2D5	hg38
chr1	20787308	20787807	-	HP1BP3	hg38
chr1	21176898	21177397	-	EIF4G3	hg38
chr1	21290464	21290963	-	ECE1	hg38
chr1	21439637	21440136	+	NBPF3	hg38
chr1	21508923	21509422	+	ALPL	hg38
chr1	21669358	21669857	-	RAP1GAP	hg38
chr1	21783150	21783649	-	USP48	hg38
chr1	21811765	21812264	+	LDLRAD2	hg38
chr1	21937311	21937810	-	HSPG2	hg38
chr1	21976522	21977021	+	CELA3B	hg38
chr1	22001157	22001656	+	CELA3A	hg38
chr1	22052209	22052708	+	CDC42	hg38
chr1	22143098	22143597	-	WNT4	hg38
chr1	22451351	22451850	+	ZBTB40	hg38
chr1	22562989	22563488	+	EPHA8	hg38
chr1	22636128	22636627	+	C1QA	hg38
chr1	22643133	22643632	+	C1QC	hg38
chr1	22652736	22653235	+	C1QB	hg38
chr1	22710339	22710838	+	EPHB2	hg38
chr1	22972867	22973366	-	LACTBL1	hg38
chr1	23015853	23016352	-	TEX46	hg38
chr1	23018968	23019467	+	KDM1A	hg38
chr1	23168857	23169356	-	LUZP1	hg38
chr1	23217503	23218002	-	HTR1D	hg38
chr1	23344285	23344784	-	HNRNPR	hg38
chr1	23369837	23370336	-	ZNF436	hg38
chr1	23424749	23425248	-	TCEA3	hg38
chr1	23484180	23484679	-	ASAP3	hg38
chr1	23531234	23531733	-	E2F2	hg38
chr1	23559502	23560001	-	ID3	hg38
chr1	23691306	23691805	+	RPL11	hg38
chr1	23742971	23743470	+	ELOA	hg38
chr1	23777918	23778417	+	PITHD1	hg38
chr1	23790645	23791144	+	LYPLA2	hg38
chr1	23800755	23801254	-	GALE	hg38
chr1	23825430	23825929	-	HMGCL	hg38
chr1	23868291	23868790	-	FUCA1	hg38
chr1	23913363	23913862	-	CNR2	hg38
chr1	23959328	23959827	+	PNRC2	hg38
chr1	23980328	23980827	-	SRSF10	hg38
chr1	24112136	24112635	-	MYOM3	hg38
chr1	24143141	24143640	-	IL22RA1	hg38
chr1	24187290	24187789	-	IFNLR1	hg38
chr1	24318857	24319356	+	GRHL3	hg38
chr1	24413783	24414282	-	STPG1	hg38
chr1	24415302	24415801	+	NIPAL3	hg38
chr1	24502336	24502835	+	RCAN3	hg38
chr1	24555587	24556086	+	NCMAP	hg38
chr1	24642802	24643301	+	SRRM1	hg38
chr1	24744947	24745446	+	CLIC4	hg38
chr1	24930277	24930776	-	RUNX3	hg38
chr1	25232503	25233002	-	SYF2	hg38
chr1	25247455	25247954	-	RSRP1	hg38
chr1	25272009	25272508	+	RHD	hg38
chr1	25337834	25338333	+	TMEM50A	hg38
chr1	25420826	25421325	-	RHCE	hg38
chr1	25430397	25430896	+	MACO1	hg38
chr1	25543106	25543605	+	LDLRAP1	hg38
chr1	25616291	25616790	+	MAN1C1	hg38
chr1	25799693	25800192	+	SELENON	hg38
chr1	25819454	25819953	+	MTFR1L	hg38
chr1	25859458	25859957	-	AUNIP	hg38
chr1	25875709	25876208	-	PAQR7	hg38
chr1	25906420	25906919	-	STMN1	hg38
chr1	25998064	25998563	-	PAFAH2	hg38
chr1	26021275	26021774	+	EXTL1	hg38
chr1	26046119	26046618	-	SLC30A2	hg38
chr1	26067631	26068130	-	TRIM63	hg38
chr1	26111324	26111823	+	PDIK1L	hg38
chr1	26158579	26159078	+	FAM110D	hg38
chr1	26168964	26169463	-	C1orf232	hg38
chr1	26169408	26169907	+	ZNF593	hg38
chr1	26176991	26177490	+	CNKSR1	hg38
chr1	26190102	26190601	+	CATSPER4	hg38
chr1	26233700	26234199	+	CEP85	hg38
chr1	26279586	26280085	+	SH3BGRL3	hg38
chr1	26306637	26307136	-	UBXN11	hg38
chr1	26317458	26317957	+	CD52	hg38
chr1	26354131	26354630	-	CRYBG2	hg38
chr1	26372751	26373250	-	ZNF683	hg38
chr1	26410317	26410816	+	LIN28A	hg38
chr1	26431821	26432320	+	DHDDS	hg38
chr1	26471940	26472439	+	HMGN2	hg38
chr1	26529261	26529760	+	RPS6KA1	hg38
chr1	26695515	26696014	+	ARID1A	hg38
chr1	26787450	26787949	+	PIGV	hg38
chr1	26826188	26826687	+	ZDHHC18	hg38
chr1	26862649	26863148	+	SFN	hg38
chr1	26890284	26890783	-	GPN2	hg38
chr1	26900468	26900967	-	GPATCH3	hg38
chr1	26921243	26921742	+	NUDC	hg38
chr1	26913976	26914475	-	NR0B2	hg38
chr1	26960469	26960968	-	KDF1	hg38
chr1	26993192	26993691	+	TRNP1	hg38
chr1	27012851	27013350	-	TENT5B	hg38
chr1	27155126	27155625	-	SLC9A1	hg38
chr1	27234132	27234631	+	WDTC1	hg38
chr1	27321663	27322162	+	TMEM222	hg38
chr1	27341522	27342021	+	SYTL1	hg38
chr1	27366962	27367461	-	MAP3K6	hg38
chr1	27374825	27375324	-	FCN3	hg38
chr1	27383334	27383833	-	CD164L2	hg38
chr1	27392122	27392621	+	GPR3	hg38
chr1	27490168	27490667	-	WASF2	hg38
chr1	27604145	27604644	-	AHDC1	hg38
chr1	27635186	27635685	-	FGR	hg38
chr1	27672193	27672692	-	IFI6	hg38
chr1	27725461	27725960	+	FAM76A	hg38
chr1	27772719	27773218	+	STX12	hg38
chr1	27830282	27830781	+	PPP1R8	hg38
chr1	27872044	27872543	+	THEMIS2	hg38
chr1	27914576	27915075	-	RPA2	hg38
chr1	27934500	27934999	+	SMPDL3B	hg38
chr1	27959473	27959972	+	XKR8	hg38
chr1	28088611	28089110	-	EYA3	hg38
chr1	28176691	28177190	-	PTAFR	hg38
chr1	28233030	28233529	-	DNAJC8	hg38
chr1	28235624	28236123	+	ATP5IF1	hg38
chr1	28259018	28259517	+	SESN2	hg38
chr1	28328540	28329039	+	MED18	hg38
chr1	28369240	28369739	+	PHACTR4	hg38
chr1	28505543	28506042	+	RCC1	hg38
chr1	28552585	28553084	+	TRNAU1AP	hg38
chr1	28591765	28592264	+	RAB42	hg38
chr1	28643068	28643567	-	TAF12	hg38
chr1	28668284	28668783	+	GMEB1	hg38
chr1	28736440	28736939	+	YTHDF2	hg38
chr1	28811670	28812169	+	OPRD1	hg38
chr1	28914069	28914568	+	EPB41	hg38
chr1	29123904	29124403	-	TMEM200B	hg38
chr1	29181901	29182400	-	SRSF4	hg38
chr1	29230935	29231434	-	MECR	hg38
chr1	29236022	29236521	+	PTPRU	hg38
chr1	30723586	30724085	-	MATN1	hg38
chr1	30757775	30758274	-	LAPTM5	hg38
chr1	30908759	30909258	-	SDC3	hg38
chr1	31065718	31066217	-	PUM1	hg38
chr1	31239888	31240387	-	NKAIN1	hg38
chr1	31296789	31297288	-	SNRNP40	hg38
chr1	31296532	31297031	+	ZCCHC17	hg38
chr1	31373077	31373576	-	FABP3	hg38
chr1	31412713	31413212	+	SERINC2	hg38
chr1	31576015	31576514	+	TINAGL1	hg38
chr1	31617189	31617688	+	HCRTR1	hg38
chr1	31644877	31645376	-	PEF1	hg38
chr1	31704018	31704517	-	COL16A1	hg38
chr1	31764341	31764840	-	ADGRB2	hg38
chr1	31816023	31816522	-	SPOCD1	hg38
chr1	31938369	31938868	-	PTP4A2	hg38
chr1	32013368	32013867	+	KHDRBS1	hg38
chr1	32072439	32072938	+	TMEM39B	hg38
chr1	32107556	32108055	+	KPNA6	hg38
chr1	32179175	32179674	+	TXLNA	hg38
chr1	32200095	32200594	+	CCDC28B	hg38
chr1	32222354	32222853	-	TMEM234	hg38
chr1	32205171	32205670	+	IQCC	hg38
chr1	32208589	32209088	+	DCDC2B	hg38
chr1	32221907	32222406	+	EIF3I	hg38
chr1	32246722	32247221	+	FAM167B	hg38
chr1	32250765	32251264	+	LCK	hg38
chr1	32291583	32292082	+	HDAC1	hg38
chr1	32336234	32336733	-	MARCKSL1	hg38
chr1	32362039	32362538	+	TSSK3	hg38
chr1	32362486	32362985	-	FAM229A	hg38
chr1	32394442	32394941	-	BSDC1	hg38
chr1	32464572	32465071	+	ZBTB8B	hg38
chr1	32538927	32539426	+	ZBTB8A	hg38
chr1	32650551	32651050	-	ZBTB8OS	hg38
chr1	32650708	32651207	+	RBBP4	hg38
chr1	32702771	32703270	-	SYNC	hg38
chr1	32741330	32741829	+	KIAA1522	hg38
chr1	32817359	32817858	-	YARS1	hg38
chr1	32817153	32817652	+	S100PBP	hg38
chr1	32870913	32871412	-	FNDC5	hg38
chr1	32885991	32886490	+	HPCA	hg38
chr1	32901390	32901889	-	TMEM54	hg38
chr1	32964810	32965309	-	RNF19B	hg38
chr1	33036884	33037383	-	AK2	hg38
chr1	33080653	33081152	+	AZIN2	hg38
chr1	33182044	33182543	-	TRIM62	hg38
chr1	33255992	33256491	+	ZNF362	hg38
chr1	33321099	33321598	-	A3GALT2	hg38
chr1	33431096	33431595	-	PHC2	hg38
chr1	33472145	33472644	+	ZSCAN20	hg38
chr1	34165231	34165730	-	CSMD2	hg38
chr1	33863579	33864078	+	HMGB4	hg38
chr1	34176407	34176906	+	C1orf94	hg38
chr1	34754547	34755046	+	GJB5	hg38
chr1	34759240	34759739	+	GJB4	hg38
chr1	34780714	34781213	+	GJB3	hg38
chr1	34792499	34792998	+	GJA4	hg38
chr1	34859750	34860249	-	SMIM12	hg38
chr1	34929651	34930150	-	DLGAP3	hg38
chr1	34985348	34985847	-	TMEM35B	hg38
chr1	35031946	35032445	-	ZMYM6	hg38
chr1	35078885	35079384	+	ZMYM1	hg38
chr1	35193146	35193645	-	SFPQ	hg38
chr1	35268209	35268708	+	ZMYM4	hg38
chr1	35557404	35557903	-	KIAA0319L	hg38
chr1	35557299	35557798	+	NCDN	hg38
chr1	35572814	35573313	+	TFAP2E	hg38
chr1	35641527	35642026	-	PSMB2	hg38
chr1	35718885	35719384	-	C1orf216	hg38
chr1	35769979	35770478	-	CLSPN	hg38
chr1	35807516	35808015	+	AGO4	hg38
chr1	35882709	35883208	+	AGO1	hg38
chr1	35930605	35931104	+	AGO3	hg38
chr1	36083594	36084093	+	TEKT2	hg38
chr1	36088392	36088891	+	ADPRS	hg38
chr1	36125223	36125722	-	COL8A2	hg38
chr1	36149487	36149986	-	TRAPPC3	hg38
chr1	36155660	36156159	+	MAP7D1	hg38
chr1	36223943	36224442	+	THRAP3	hg38
chr1	36305868	36306367	+	SH3D21	hg38
chr1	36323646	36324145	-	EVA1B	hg38
chr1	36385925	36386424	-	STK40	hg38
chr1	36397909	36398408	-	LSM10	hg38
chr1	36450452	36450951	-	OSCP1	hg38
chr1	36464385	36464884	-	MRPS15	hg38
chr1	36482914	36483413	-	CSF3R	hg38
chr1	37034516	37035015	-	GRIK3	hg38
chr1	37474080	37474579	+	ZC3H12A	hg38
chr1	37514767	37515266	-	MEAF6	hg38
chr1	37554294	37554793	-	SNIP1	hg38
chr1	37556440	37556939	+	DNALI1	hg38
chr1	37595938	37596437	-	GNL2	hg38
chr1	37634893	37635392	-	RSPO1	hg38
chr1	37690530	37691029	-	C1orf109	hg38
chr1	37692016	37692515	+	CDCA8	hg38
chr1	37765121	37765620	-	EPHA10	hg38
chr1	37793347	37793846	+	MANEAL	hg38
chr1	37808209	37808708	-	YRDC	hg38
chr1	37807290	37807789	+	C1orf122	hg38
chr1	37859593	37860092	-	MTF1	hg38
chr1	37947054	37947553	-	INPP5B	hg38
chr1	37990023	37990522	-	SF3A3	hg38
chr1	38005515	38006014	-	FHL3	hg38
chr1	38012234	38012733	+	UTP11	hg38
chr1	38046794	38047293	-	POU3F1	hg38
chr1	38859773	38860272	-	RRAGC	hg38
chr1	38873349	38873848	-	MYCBP	hg38
chr1	38881588	38882087	-	GJA9	hg38
chr1	38941831	38942330	-	RHBDL2	hg38
chr1	38990776	38991275	+	AKIRIN1	hg38
chr1	39025850	39026349	+	NDUFS5	hg38
chr1	39204195	39204694	+	MACF1	hg38
chr1	39491136	39491635	+	BMP8A	hg38
chr1	39576791	39577290	-	PABPC4	hg38
chr1	39639644	39640143	-	HEYL	hg38
chr1	39672108	39672607	-	NT5C1A	hg38
chr1	39691434	39691933	-	HPCAL4	hg38
chr1	39738382	39738881	+	PPIE	hg38
chr1	39788866	39789365	-	BMP8B	hg38
chr1	39771349	39771848	-	OXCT2	hg38
chr1	39883505	39884004	-	TRIT1	hg38
chr1	39901918	39902417	-	MYCL	hg38
chr1	39954645	39955144	+	MFSD2A	hg38
chr1	40040229	40040728	+	CAP1	hg38
chr1	40097253	40097752	-	PPT1	hg38
chr1	40160887	40161386	+	RLF	hg38
chr1	40247437	40247936	+	TMCO2	hg38
chr1	40257736	40258235	+	ZMPSTE24	hg38
chr1	40317287	40317786	-	COL9A2	hg38
chr1	40373227	40373726	+	SMAP2	hg38
chr1	40449976	40450475	+	ZFP69B	hg38
chr1	40476790	40477289	+	ZFP69	hg38
chr1	40508267	40508766	+	EXO5	hg38
chr1	40531137	40531636	+	ZNF684	hg38
chr1	40665683	40666182	-	RIMS3	hg38
chr1	40691204	40691703	+	NFYC	hg38
chr1	40783287	40783786	+	KCNQ4	hg38
chr1	40862364	40862863	-	CITED4	hg38
chr1	40979196	40979695	+	CTPS1	hg38
chr1	41021726	41022225	-	SLFNL1	hg38
chr1	41242307	41242806	-	SCMH1	hg38
chr1	41360934	41361433	+	FOXO6	hg38
chr1	41484684	41485183	-	EDN2	hg38
chr1	41918923	41919422	-	HIVEP3	hg38
chr1	42152910	42153409	+	GUCA2B	hg38
chr1	42164746	42165245	-	GUCA2A	hg38
chr1	42335236	42335735	-	FOXJ3	hg38
chr1	42380292	42380791	+	RIMKLA	hg38
chr1	42456023	42456522	-	ZMYND12	hg38
chr1	42462786	42463285	+	CCDC30	hg38
chr1	42456043	42456542	+	PPCS	hg38
chr1	42657923	42658422	+	PPIH	hg38
chr1	42681918	42682417	+	YBX1	hg38
chr1	42740237	42740736	-	CLDN19	hg38
chr1	42767029	42767528	-	P3H1	hg38
chr1	42766749	42767248	+	C1orf50	hg38
chr1	42784491	42784990	+	TMEM269	hg38
chr1	42817398	42817897	-	SVBP	hg38
chr1	42816622	42817121	+	ERMAP	hg38
chr1	42846113	42846612	+	ZNF691	hg38
chr1	42958869	42959368	-	SLC2A1	hg38
chr1	43147404	43147903	+	FAM183A	hg38
chr1	43172291	43172790	-	EBNA1BP2	hg38
chr1	43171830	43172329	+	CFAP57	hg38
chr1	43269483	43269982	+	TMEM125	hg38
chr1	43285582	43286081	-	C1orf210	hg38
chr1	43300482	43300981	+	TIE1	hg38
chr1	43337318	43337817	+	MPL	hg38
chr1	43358481	43358980	+	CDC20	hg38
chr1	43368012	43368511	-	ELOVL1	hg38
chr1	43389801	43390300	-	MED8	hg38
chr1	43389399	43389898	+	SZT2	hg38
chr1	43453932	43454431	-	HYI	hg38
chr1	43530383	43530882	+	PTPRF	hg38
chr1	43649649	43650148	+	KDM4A	hg38
chr1	43707036	43707535	+	ST3GAL3	hg38
chr1	43933301	43933800	+	ARTN	hg38
