seqnames	start	end	strand	gene
chr1	246670645	246671144	-	SMYD3
chr1	247495243	247495742	-	ZNF496
chr1	248511577	248512076	+	OR14C36
chr1	1182103	1182602	-	FAM132A
chr1	1590559	1591058	-	CDK11B
chr1	1711509	1712008	-	NADK
chr1	2159634	2160133	+	SKI
chr1	2487304	2487803	+	TNFRSF14
chr1	2706231	2706730	-	TTC34
chr1	3528060	3528559	-	MEGF6
chr1	3668465	3668964	+	CCDC27
chr1	3773331	3773830	+	DFFB
chr1	4714605	4715104	+	AJAP1
chr1	6052534	6053033	-	NPHP4
chr1	6105481	6105980	+	KCNAB2
chr1	6445884	6446383	-	ACOT7
chr1	6557157	6557656	-	PLEKHG5
chr1	7843989	7844488	+	PER3
chr1	8003226	8003725	-	TNFRSF9
chr1	8877700	8878199	-	RERE
chr1	9189230	9189729	-	GPR157
chr1	9299403	9299902	+	H6PD
chr1	9884585	9885084	-	CLSTN1
chr1	9970317	9970816	-	CTNNBIP1
chr1	10092541	10093040	+	UBE4B
chr1	10270264	10270763	+	KIF1B
chr1	10534503	10535002	+	PEX14
chr1	10856734	10857233	-	CASZ1
chr1	11042095	11042594	-	C1orf127
chr1	11159968	11160467	-	EXOSC10
chr1	11322609	11323108	-	MTOR
chr1	11795642	11796141	+	AGTRAP
chr1	12039738	12040237	+	MFN2
chr1	12122934	12123433	+	TNFRSF8
chr1	12289596	12290095	+	VPS13D
chr1	12704066	12704565	+	AADACL4
chr1	14924713	14925212	+	KAZN
chr1	15573268	15573767	+	FHAD1
chr1	15852808	15853307	+	DNAJC16
chr1	16173859	16174358	+	SPEN
chr1	16678987	16679486	-	FBXO42
chr1	16940101	16940600	-	NBPF1
chr1	17307174	17307673	-	MFAP2
chr1	17445949	17446448	-	PADI2
chr1	17531121	17531620	+	PADI1
chr1	17865830	17866329	+	ARHGEF10L
chr1	18081308	18081807	+	ACTL8
chr1	18433740	18434239	+	IGSF21
chr1	18957000	18957499	+	PAX7
chr1	19282827	19283326	-	IFFO2
chr1	19536747	19537246	-	UBR4
chr1	19811202	19811701	-	CAPZB
chr1	20126411	20126910	-	TMCO4
chr1	21113182	21113681	-	HP1BP3
chr1	21503382	21503881	-	EIF4G3
chr1	21835351	21835850	+	ALPL
chr1	22138258	22138757	+	LDLRAD2
chr1	22263791	22264290	-	HSPG2
chr1	22777844	22778343	+	ZBTB40
chr1	23495352	23495851	-	LUZP1
chr1	23751273	23751772	-	TCEA3
chr1	23857713	23858212	-	E2F2
chr1	24513766	24514265	-	IFNLR1
chr1	24742015	24742514	+	NIPAL3
chr1	24882067	24882566	+	NCMAP
chr1	25747364	25747863	-	RHCE
chr1	25756849	25757348	+	TMEM57
chr1	25943459	25943958	+	MAN1C1
chr1	26605713	26606212	+	SH3BGRL3
chr1	26736759	26737258	+	LIN28A
chr1	27648136	27648635	+	TMEM222
chr1	27816699	27817198	-	WASF2
chr1	27930006	27930505	-	AHDC1
chr1	28969605	28970104	-	TAF12
chr1	29508638	29509137	-	SRSF4
chr1	29562528	29563027	+	PTPRU
chr1	31196433	31196932	-	MATN1
chr1	32403989	32404488	-	PTP4A2
chr1	32573144	32573643	+	KPNA6
chr1	32757208	32757707	+	HDAC1
chr1	33004246	33004745	+	ZBTB8A
chr1	33168362	33168861	-	SYNC
chr1	33282619	33283118	+	S100PBP
chr1	33430415	33430914	-	RNF19B
chr1	33841195	33841694	-	PHC2
chr1	33937732	33938231	+	ZSCAN20
chr1	35395187	35395686	-	DLGAP3
chr1	35734068	35734567	+	ZMYM4
chr1	36023038	36023537	-	KIAA0319L
chr1	36038471	36038970	+	TFAP2E
chr1	36273328	36273827	+	AGO4
chr1	36396183	36396682	+	AGO3
chr1	36590686	36591185	-	COL8A2
chr1	36851529	36852028	-	STK40
chr1	37499845	37500344	-	GRIK3
chr1	38019946	38020445	-	SNIP1
chr1	38273866	38274365	-	YRDC
chr1	38412730	38413229	-	INPP5B
chr1	39325496	39325995	-	RRAGC
chr1	39956818	39957317	+	BMP8A
chr1	40254534	40255033	-	BMP8B
chr1	40626541	40627040	+	RLF
chr1	41249184	41249683	+	KCNQ4
chr1	41627105	41627604	-	SCMH1
chr1	42384379	42384878	-	HIVEP3
chr1	42800637	42801136	-	FOXJ3
chr1	42845968	42846467	+	RIMKLA
chr1	43253161	43253660	+	TMEM269
chr1	43637501	43638000	+	CFAP57
chr1	43766066	43766565	+	TIE1
chr1	43855056	43855555	+	SZT2
chr1	44172704	44173203	+	ST3GAL3
chr1	44411978	44412477	+	IPO13
chr1	44820952	44821451	-	ERI3
chr1	45204990	45205489	+	KIF2C
chr1	45452395	45452894	-	EIF2B3
chr1	45672251	45672750	-	ZSWIM5
chr1	45956841	45957340	-	TESK2
chr1	46268779	46269278	+	MAST2
chr1	46642168	46642667	-	PIK3R3
chr1	46685978	46686477	-	POMGNT1
chr1	47069967	47070466	-	MKNK1
chr1	47532660	47533159	+	CYP4Z1
chr1	47798969	47799468	+	CMPK1
chr1	48937881	48938380	-	SPATA6
chr1	50571437	50571936	+	ELAVL4
chr1	51787941	51788440	-	TTC39A
chr1	51984996	51985495	-	EPS15
chr1	52082046	52082545	+	OSBPL9
chr1	52344610	52345109	-	NRDC
chr1	52607266	52607765	+	ZFYVE9
chr1	52831878	52832377	-	CC2D1B
chr1	53018763	53019262	-	ZCCHC11
chr1	53191631	53192130	+	ZYG11B
chr1	53307683	53308182	+	ZYG11A
chr1	53793822	53794321	-	LRP8
chr1	54199878	54200377	-	GLIS1
chr1	54304226	54304725	-	NDC1
chr1	54411497	54411996	-	HSPB11
chr1	54665747	54666246	-	CYB5RL
chr1	54872069	54872568	-	SSBP3
chr1	55013307	55013806	+	ACOT11
chr1	57045258	57045757	-	PLPP3
chr1	57110490	57110989	+	PRKAA2
chr1	57285370	57285869	-	C1orf168
chr1	57431814	57432313	-	C8B
chr1	59012472	59012971	-	OMA1
chr1	60280033	60280532	+	HOOK1
chr1	62207649	62208148	+	PATJ
chr1	62785084	62785583	-	KANK4
chr1	63154040	63154539	-	DOCK7
chr1	63249277	63249776	+	ATG4C
chr1	64088387	64088886	+	PGM1
chr1	64239190	64239689	+	ROR1
chr1	65210278	65210777	+	RAVER2
chr1	65432253	65432752	-	JAK1
chr1	65613350	65613849	+	AK4
chr1	65774718	65775217	+	DNAJC6
chr1	66258356	66258855	+	PDE4B
chr1	67217640	67218139	+	TCTEX1D1
chr1	67390571	67391070	-	WDR78
chr1	67520081	67520580	-	SLC35D1
chr1	67631669	67632168	+	IL23R
chr1	67896124	67896623	-	SERBP1
chr1	68299156	68299655	-	GNG12
chr1	68698230	68698729	-	WLS
chr1	68962905	68963404	-	DEPDC1
chr1	70671362	70671861	-	LRRC40
chr1	70820418	70820917	-	ANKRD13C
chr1	71513492	71513991	-	PTGER3
chr1	74663872	74664371	-	LRRIQ3
chr1	74700571	74701070	+	TNNI3K
chr1	75139423	75139922	-	ERICH3
chr1	76076800	76077299	-	SLC44A5
chr1	76262056	76262555	+	MSH4
chr1	77332593	77333092	+	ST6GALNAC5
chr1	77747162	77747661	+	AK5
chr1	78148344	78148843	-	ZZZ3
chr1	78244809	78245308	+	MIGA1
chr1	78353700	78354199	+	NEXN
chr1	78511089	78511588	+	GIPC2
chr1	79472496	79472995	-	ADGRL4
chr1	82265582	82266081	+	ADGRL2
chr1	84464834	84465333	-	TTLL7
chr1	84609431	84609930	+	PRKACB
chr1	84763549	84764048	+	SAMD13
chr1	85358897	85359396	-	LPAR3
chr1	85462806	85463305	-	MCOLN2
chr1	85527481	85527980	+	WDR63
chr1	85725356	85725855	-	C1orf52
chr1	85930890	85931389	-	DDAH1
chr1	86622122	86622621	-	COL24A1
chr1	86889066	86889565	+	CLCA2
chr1	87379835	87380334	+	HS2ST1
chr1	87677852	87678351	+	LOC101927844
chr1	89149327	89149826	+	PKN2
chr1	89531044	89531543	-	GBP1
chr1	89664634	89665133	-	GBP4
chr1	90023772	90024271	+	LRRC8B
chr1	90286980	90287479	+	LRRC8D
chr1	91870427	91870926	-	HFM1
chr1	92764022	92764521	+	RPAP2
chr1	93257962	93258461	-	EVI5
chr1	93544292	93544791	+	MTF2
chr1	93645773	93646272	+	CCDC18
chr1	93913188	93913687	+	FNBP1L
chr1	94146927	94147426	-	BCAR3
chr1	94586706	94587205	-	ABCA4
chr1	94883433	94883932	+	ABCD3
chr1	95285398	95285897	+	SLC44A3
chr1	95582979	95583478	+	TMEM56-RWDD3
chr1	97186661	97187160	+	PTBP2
chr1	98386616	98387115	-	DPYD
chr1	99126736	99127235	+	SNX7
chr1	99729348	99729847	+	PLPPR4
chr1	100110931	100111430	+	PALMD
chr1	100503289	100503788	+	MFSD14A
chr1	100817523	100818022	+	CDC14A
chr1	101184696	101185195	+	VCAM1
chr1	103574053	103574552	-	COL11A1
chr1	104068078	104068577	+	RNPC3
chr1	104197802	104198301	+	AMY1A
chr1	108507546	108508045	-	VAV3
chr1	109288757	109289256	+	STXBP3
chr1	109419103	109419602	+	GPSM2
chr1	109584851	109585350	-	WDR47
chr1	109656085	109656584	+	KIAA1324
chr1	109849664	109850163	-	MYBPHL
chr1	110229918	110230417	+	GSTM1
chr1	110752836	110753335	+	KCNC4
chr1	110881445	110881944	+	RBM15
chr1	111682839	111683338	-	DRAM2
chr1	112531778	112532277	-	KCND3
chr1	112938300	112938799	+	CTTNBP2NL
chr1	113162041	113162540	-	ST7L
chr1	113615292	113615791	+	LRIG2
chr1	113932975	113933474	+	MAGI3
chr1	114430170	114430669	-	BCL2L15
chr1	114695063	114695562	-	SYT6
chr1	115053782	115054281	-	TRIM33
chr1	115212733	115213232	-	DENND2C
chr1	115396924	115397423	+	SYCP1
chr1	115632122	115632621	-	TSPAN2
chr1	115880858	115881357	-	NGF
chr1	116311427	116311926	-	CASQ2
chr1	116518619	116519118	+	SLC22A15
chr1	117209579	117210078	-	IGSF3
chr1	117296552	117297051	+	CD2
chr1	117543872	117544371	+	CD101
chr1	117753583	117754082	-	VTCN1
chr1	117909585	117910084	+	MAN1A2
chr1	118727849	118728348	-	SPAG17
chr1	119683296	119683795	-	WARS2
chr1	119910899	119911398	+	HAO2
chr1	120838505	120839004	+	FAM72B
chr1	121106654	121107153	+	SRGAP2C
chr1	144995034	144995533	-	PDE4DIP
chr1	145208613	145209112	+	NOTCH2NL
chr1	145292871	145293370	+	NBPF10
chr1	145476567	145477066	+	LIX1L
chr1	145610490	145610989	+	RNF115
chr1	146373357	146373856	+	NBPF12
chr1	146697231	146697730	-	FMO5
chr1	147012771	147013270	+	BCL9
chr1	147400006	147400505	+	GPR89B
chr1	147624470	147624969	-	NBPF11
chr1	149287854	149288353	+	LOC388692
chr1	149552503	149553002	+	PPIAL4C
chr1	150038850	150039349	+	VPS45
chr1	150336087	150336586	+	RPRD2
chr1	150459340	150459839	+	TARS2
chr1	150602099	150602598	-	ENSA
chr1	150738434	150738933	-	CTSS
chr1	151254288	151254787	+	ZNF687
chr1	151431942	151432441	-	POGZ
chr1	151512285	151512784	+	TUFT1
chr1	151584162	151584661	+	SNX27
chr1	151804349	151804848	-	RORC
chr1	153605958	153606457	+	CHTOP
chr1	153895452	153895951	-	GATAD2B
chr1	154127593	154128092	-	NUP210L
chr1	154377169	154377668	+	IL6R
chr1	154842755	154843254	-	KCNN3
chr1	154928640	154929139	-	PBXIP1
chr1	155050848	155051347	+	EFNA3
chr1	155532325	155532824	-	ASH1L
chr1	155579461	155579960	+	MSTO1
chr1	155828760	155829259	+	SYT11
chr1	156083961	156084460	+	LMNA
chr1	156542397	156542896	-	IQGAP3
chr1	156736774	156737273	+	PRCC
chr1	156889924	156890423	+	LRRC71
chr1	157567871	157568370	-	FCRL4
chr1	158656507	158657006	-	SPTA1
chr1	159771673	159772172	+	FCRL6
chr1	159915387	159915886	-	IGSF9
chr1	160040052	160040551	-	KCNJ10
chr1	160159785	160160284	+	CASQ1
chr1	160313355	160313854	-	COPA
chr1	160832693	160833192	-	CD244
chr1	161087867	161088366	-	PFDN2
chr1	161735534	161736033	+	ATF6
chr1	162039081	162039580	+	NOS1AP
chr1	162601728	162602227	+	DDR2
chr1	163291223	163291722	+	NUF2
chr1	165325479	165325978	-	LMX1A
chr1	165414593	165415092	-	RXRG
chr1	165796232	165796731	+	UCK2
chr1	166135993	166136492	-	FAM78B
chr1	166957826	166958325	+	MAEL
chr1	167189566	167190065	+	POU2F1
chr1	167598974	167599473	+	RCSD1
chr1	167906308	167906807	-	MPC2
chr1	167905297	167905796	+	DCAF6
chr1	168147583	168148082	+	TIPRL
chr1	168698443	168698942	-	DPT
chr1	169075447	169075946	+	ATP1B1
chr1	169337202	169337701	-	NME7
chr1	169336617	169337116	+	BLZF1
chr1	170043880	170044379	-	KIFAP3
chr1	170114688	170115187	+	METTL11B
chr1	170632813	170633312	+	PRRX1
chr1	171153847	171154346	+	FMO2
chr1	171282822	171283321	+	FMO4
chr1	171711380	171711879	-	VAMP4
chr1	173572234	173572733	-	SLC9C2
chr1	173793297	173793796	+	DARS2
chr1	173962211	173962710	-	RC3H1
chr1	174128052	174128551	+	RABGAP1L
chr1	174968392	174968891	+	CACYBP
chr1	175712753	175713252	-	TNR
chr1	176431807	176432306	+	PAPPA2
chr1	177134041	177134540	-	ASTN1
chr1	178693782	178694281	+	RALGPS2
chr1	178994759	178995258	+	FAM20B
chr1	179198820	179199319	-	ABL2
chr1	179334355	179334854	+	AXDND1
chr1	179560489	179560988	+	TDRD5
chr1	179846942	179847441	-	TOR1AIP2
chr1	179923408	179923907	+	CEP350
chr1	180198933	180199432	+	LHX4
chr1	180600646	180601145	+	XPR1
chr1	181002061	181002560	+	MR1
chr1	181452186	181452685	+	CACNA1E
chr1	182807939	182808438	+	DHX9
chr1	182992095	182992594	+	LAMC1
chr1	183387635	183388134	-	NMNAT2
chr1	183604682	183605181	+	RGL1
chr1	184020285	184020784	+	TSEN15
chr1	184724042	184724541	-	EDEM3
chr1	184943719	184944218	-	FAM129A
chr1	185125791	185126290	+	SWT1
chr1	185703183	185703682	+	HMCN1
chr1	186344390	186344889	+	C1orf27
chr1	186797532	186798031	+	PLA2G4A
chr1	190447013	190447512	-	BRINP3
chr1	192127092	192127591	+	RGS18
chr1	193075245	193075744	-	GLRX2
chr1	193090588	193091087	+	CDC73
chr1	196577562	196578061	-	KCNT2
chr1	196856644	196857143	+	CFHR4
chr1	197236834	197237333	+	CRB1
chr1	197744624	197745123	-	DENND1B
chr1	198607598	198608097	+	PTPRC
chr1	199996230	199996729	+	NR5A2
chr1	200589863	200590362	-	KIF14
chr1	200708186	200708685	+	CAMSAP2
chr1	201081695	201082194	-	CACNA1S
chr1	201159453	201159952	+	IGFN1
chr1	201465702	201466201	-	CSRP1
chr1	201616950	201617449	+	NAV1
chr1	201797788	201798287	+	IPO9
chr1	201979190	201979689	+	ELF3
chr1	202113872	202114371	-	ARL8A
chr1	202162618	202163117	+	LGR6
chr1	202778599	202779098	-	KDM5B
chr1	202995149	202995648	+	PPFIA4
chr1	203595415	203595914	+	ATP2B4
chr1	203764165	203764664	+	ZC3H11A
chr1	204041746	204042245	+	SOX13
chr1	204329058	204329557	-	PLEKHA6
chr1	204654482	204654981	-	LRRN2
chr1	204797282	204797781	+	NFASC
chr1	205180728	205181227	-	DSTYK
chr1	205391215	205391714	-	LEMD1
chr1	206680363	206680862	+	RASSF5
chr1	207095379	207095878	-	FCMR
chr1	207668973	207669472	+	CR1
chr1	207817958	207818457	+	CR1L
chr1	208417666	208418165	-	PLXNA2
chr1	209979521	209980020	-	IRF6
chr1	210111019	210111518	+	SYT14
chr1	211307458	211307957	-	KCNH1
chr1	212003581	212004080	-	LPGAT1
chr1	212209003	212209502	-	INTS7
chr1	212458379	212458878	+	PPP2R5A
chr1	213224075	213224574	+	RPS6KC1
chr1	214161344	214161843	+	PROX1
chr1	214725025	214725524	-	PTPN14
chr1	214776032	214776531	+	CENPF
chr1	215256060	215256559	+	KCNK2
chr1	215740222	215740721	+	KCTD3
chr1	216896815	216897314	-	ESRRG
chr1	217804445	217804944	-	GPATCH2
chr1	217804166	217804665	+	SPATA17
chr1	218458129	218458628	+	RRP15
chr1	220445844	220446343	-	RAB3GAP2
chr1	220701025	220701524	+	MARK1
chr1	220959539	220960038	+	MARC1
chr1	221915519	221916018	-	DUSP10
chr1	222790944	222791443	+	MIA3
chr1	222987931	222988430	+	DISP1
chr1	223537545	223538044	-	SUSD4
chr1	223853437	223853936	-	CAPN8
chr1	224033675	224034174	-	TP53BP2
chr1	224622097	224622596	+	CNIH3
chr1	225840846	225841345	-	ENAH
chr1	225965015	225965514	+	SRP9
chr1	226374424	226374923	-	ACBD3
chr1	226736001	226736500	+	STUM
chr1	226926877	226927376	-	ITPKB
chr1	227127438	227127937	+	COQ8A
chr1	227505827	227506326	-	CDC42BPA
chr1	227750720	227751219	+	ZNF678
chr1	227922197	227922696	+	SNAP47
chr1	228194223	228194722	+	WNT3A
chr1	228395331	228395830	+	OBSCN
chr1	229761463	229761962	+	URB2
chr1	230202442	230202941	+	GALNT2
chr1	230561675	230562174	-	PGBD5
chr1	230777702	230778201	+	COG2
chr1	231114619	231115118	-	TTC13
chr1	231298174	231298673	+	TRIM67
chr1	231473619	231474118	-	EXOC8
chr1	231762061	231762560	+	DISC1
chr1	233431460	233431959	-	PCNX2
chr1	234039958	234040457	+	SLC35F3
chr1	235292257	235292756	-	TOMM20
chr1	235490803	235491302	-	ARID4B
chr1	235530175	235530674	+	TBCE
chr1	235667782	235668281	-	B3GALNT2
chr1	235813294	235813793	-	GNG4
chr1	236228482	236228981	-	NID1
chr1	236305332	236305831	+	GPR137B
chr1	236557180	236557679	+	EDARADD
chr1	236686239	236686738	+	LGALS8
chr1	236767842	236768341	-	HEATR1
chr1	237205202	237205701	+	RYR2
chr1	239791873	239792372	+	CHRM3
chr1	240254685	240255184	+	FMN2
chr1	241694934	241695433	+	KMO
chr1	241815080	241815579	+	WDR64
chr1	242687999	242688498	-	PLD5
chr1	243418709	243419208	-	CEP170
chr1	243418807	243419306	+	SDCCAG8
chr1	244006585	244007084	-	AKT3
chr1	244615437	244615936	-	ADSS
chr1	244624173	244624672	+	C1orf101
chr1	244815850	244816349	+	DESI2
chr1	245133131	245133630	+	EFCAB2
chr1	246729139	246729638	+	CNST
chr1	247094727	247095226	-	AHCTF1
chr1	247242116	247242615	-	ZNF670
chr1	247335320	247335819	-	ZNF124
chr1	247580851	247581350	+	NLRP3
chr1	247711847	247712346	+	GCSAML
chr1	248099831	248100330	+	OR2L13
chr1	68591	69090	+	OR4F5
chr1	367159	367658	+	OR4F29
chr1	622035	622534	-	OR4F16
chr1	860621	861120	+	SAMD11
chr1	894680	895179	-	NOC2L
chr1	895467	895966	+	KLHL17
chr1	901377	901876	+	PLEKHN1
chr1	917498	917997	-	PERM1
chr1	935553	936052	-	HES4
chr1	948347	948846	+	ISG15
chr1	955003	955502	+	AGRN
chr1	1009688	1010187	-	RNF223
chr1	1108786	1109285	+	TTLL10
chr1	1142090	1142589	-	TNFRSF18
chr1	1149549	1150048	-	TNFRSF4
chr1	1167448	1167947	-	SDF4
chr1	1167129	1167628	+	B3GALT6
chr1	1209235	1209734	-	UBE2J2
chr1	1215316	1215815	+	SCNN1D
chr1	1243270	1243769	-	ACAP3
chr1	1243460	1243959	+	PUSL1
chr1	1260068	1260567	-	INTS11
chr1	1259643	1260142	+	CPTP
chr1	1266226	1266725	+	TAS1R3
chr1	1284493	1284992	-	DVL1
chr1	1293928	1294427	-	MXRA8
chr1	1310563	1311062	-	AURKAIP1
chr1	1334719	1335218	-	CCNL2
chr1	1342694	1343193	-	MRPL20
chr1	1356825	1357324	-	ANKRD65
chr1	1361008	1361507	+	TMEM88B
chr1	1370403	1370902	+	VWA1
chr1	1384569	1385068	+	ATAD3C
chr1	1406635	1407134	+	ATAD3B
chr1	1447023	1447522	+	ATAD3A
chr1	1475741	1476240	-	TMEM240
chr1	1510263	1510762	-	SSU72
chr1	1535477	1535976	-	FNDC10
chr1	1550295	1550794	+	MIB2
chr1	1567060	1567559	+	MMP23B
chr1	1624244	1624743	-	SLC35E2B
chr1	1656005	1656504	-	CDK11A
chr1	1677439	1677938	-	SLC35E2
chr1	1822557	1823056	-	GNB1
chr1	1845766	1846265	+	CALML6
chr1	1850741	1851240	-	TMEM52
chr1	1935277	1935776	-	CFAP74
chr1	1950268	1950767	+	GABRD
chr1	2144160	2144659	-	FAAP20
chr1	2323191	2323690	-	MORN1
chr1	2322714	2323213	+	RER1
chr1	2344011	2344510	-	PEX10
chr1	2407254	2407753	+	PLCH2
chr1	2458068	2458567	-	PANK4
chr1	2461685	2462184	-	HES5
chr1	2517689	2518188	+	FAM213B
chr1	2564482	2564981	-	MMEL1
chr1	2937546	2938045	+	ACTRT2
chr1	3370647	3371146	+	ARHGEF16
chr1	3541056	3541555	+	TPRG1L
chr1	3566672	3567171	-	WRAP73
chr1	3568629	3569128	+	TP73
chr1	3688851	3689350	+	SMIM1
chr1	3713069	3713568	-	LRRC47
chr1	3773798	3774297	-	CEP104
chr1	3816858	3817357	-	C1orf174
chr1	6240195	6240694	-	CHD5
chr1	6259680	6260179	-	RPL22
chr1	6265689	6266188	+	RNF207
chr1	6303752	6304251	+	HES3
chr1	6321036	6321535	-	GPR153
chr1	6479980	6480479	-	HES2
chr1	6484348	6484847	+	ESPN
chr1	6526256	6526755	-	TNFRSF25
chr1	6614659	6615158	-	NOL9
chr1	6614838	6615337	+	TAS1R1
chr1	6639551	6640050	+	ZBTB48
chr1	6662959	6663458	-	KLHL21
chr1	6673256	6673755	+	PHF13
chr1	6684425	6684924	+	THAP3
chr1	6761967	6762466	-	DNAJC11
chr1	7830829	7831328	+	VAMP3
chr1	7913552	7914051	-	UTS2
chr1	8021214	8021713	+	PARK7
chr1	8086394	8086893	-	ERRFI1
chr1	8939152	8939651	-	ENO1
chr1	9005393	9005892	+	CA6
chr1	9086405	9086904	-	SLC2A7
chr1	9129888	9130387	-	SLC2A5
chr1	9352441	9352940	+	SPSB1
chr1	9599028	9599527	+	SLC25A33
chr1	9648432	9648931	+	TMEM201
chr1	9711290	9711789	+	PIK3CD
chr1	10003486	10003985	-	LZIC
chr1	10002986	10003485	+	NMNAT1
chr1	10056755	10057254	+	RBP7
chr1	10458549	10459048	+	PGD
chr1	10489659	10490158	+	CENPS
chr1	10509276	10509775	+	CORT
chr1	10532614	10533113	-	DFFA
chr1	11072179	11072678	+	TARDBP
chr1	11107297	11107796	-	MASP2
chr1	11120092	11120591	-	SRM
chr1	11248846	11249345	+	ANGPTL7
chr1	11332755	11333254	+	UBIAD1
chr1	11538795	11539294	+	DISP3
chr1	11714889	11715388	-	FBXO2
chr1	11714414	11714913	+	FBXO44
chr1	11723650	11724149	+	FBXO6
chr1	11741272	11741771	-	MAD2L2
chr1	11751281	11751780	+	DRAXIN
chr1	11821750	11822249	+	C1orf167
chr1	11863735	11864234	-	MTHFR
chr1	11865653	11866152	+	CLCN6
chr1	11907841	11908340	-	NPPA
chr1	11918993	11919492	-	NPPB
chr1	11986486	11986985	-	KIAA2013
chr1	11994224	11994723	+	PLOD1
chr1	12078799	12079298	+	MIIP
chr1	12226560	12227059	+	TNFRSF1B
chr1	12677738	12678237	-	DHRS3
chr1	12775618	12776117	+	AADACL3
chr1	12805634	12806133	+	C1orf158
chr1	12834491	12834990	+	PRAMEF12
chr1	12851046	12851545	+	PRAMEF1
chr1	12891265	12891764	-	PRAMEF11
chr1	12908610	12909109	-	HNRNPCL1
chr1	12916441	12916940	+	PRAMEF2
chr1	12946026	12946525	-	PRAMEF4
chr1	12958102	12958601	-	PRAMEF10
chr1	12975967	12976466	+	PRAMEF7
chr1	13007407	13007906	-	PRAMEF6
chr1	13034999	13035498	+	PRAMEF18
chr1	13184327	13184826	-	HNRNPCL2
chr1	13359319	13359818	+	PRAMEF5
chr1	13408635	13409134	+	PRAMEF33P
chr1	13452657	13453156	-	PRAMEF13
chr1	13611534	13612033	-	PRAMEF8
chr1	13641473	13641972	+	PRAMEF15
chr1	13673512	13674011	-	PRAMEF14
